City,Country,Region,Population,Latitude,Longitude,Source,
Singapore,Singapore,Asia,2960.14,1.2805179,103.8407863,https://www.statista.com/statistics/622748/singapore-resident-population-by-ethnic-group/,
Bangkok,Thailand,Asia,7221,13.7373979,100.5107441,https://www.culturaldiplomacy.org/academy/index.php?chinese-diaspora,
Kuala Lumpur (Selangor State),Malaysia,Asia,2189.2,3.1445387,101.6936373,https://web.archive.org/web/20180412212213/http://www.spr.gov.my/sites/default/files/Jilid%201%20Kajian%20Semula%20Persempadanan%20V2.pdf,
Johor Bahru (Johor State),Malaysia,Asia,1078.8,1.4578971,103.7605655,https://web.archive.org/web/20180412212213/http://www.spr.gov.my/sites/default/files/Jilid%201%20Kajian%20Semula%20Persempadanan%20V2.pdf,
George Town (Penang State),Malaysia,Asia,685.8,5.4178117,100.3320309,https://web.archive.org/web/20180412212213/http://www.spr.gov.my/sites/default/files/Jilid%201%20Kajian%20Semula%20Persempadanan%20V2.pdf,
Ipoh (Perak State),Malaysia,Asia,703.1,4.5712252,101.110048,https://web.archive.org/web/20180412212213/http://www.spr.gov.my/sites/default/files/Jilid%201%20Kajian%20Semula%20Persempadanan%20V2.pdf,
Jakarta,Indonesia,Asia,579.612,-6.1446546,106.8112461,DOI: 10.1080/14631369.2016.1227236,These seem low based on 8 mil total Chinese in Indonesia
Surabaya,Indonesia,Asia,147.047,-7.2374041,112.7389142,DOI: 10.1080/14631369.2016.1227236,
Medan,Indonesia,Asia,201.519,3.5926572,98.6716919,DOI: 10.1080/14631369.2016.1227236,
Pontianak,Indonesia,Asia,104.325,-0.0305307,109.3427661,DOI: 10.1080/14631369.2016.1227236,
Bandung,Indonesia,Asia,83.32,-6.9217892,107.5997541,DOI: 10.1080/14631369.2016.1227236,
Yangon,Myanmar,Asia,1287.156,16.7733311,96.1498833,https://www.worldatlas.com/articles/largest-ethnic-groups-in-myanmar-burma.html,Mostly Yangon
Manila,Phillipines,Asia,500,14.6011743,120.9710572,DOI: 10.1007/978-0-387-29904-4_79,
Ho Chi Minh City,Vietnam,Asia,992.6,10.823099,106.629662,DOI: 10.1177/2057150X16655077,Mostly Ho Chi Minh City: DOI: 10.1355/9789814379243
Tokyo,Japan,Asia,197.51,35.689487,139.691711,http://www.rbzwdb.com/hrxw/2018/01-17/12748.shtml,
Kanagawa,Japan,Asia,64.83,33.167519,130.408676,http://www.rbzwdb.com/hrxw/2018/01-17/12748.shtml,
